name,center_x,center_y
AH_03_A,106.68649139093988,-6.0964036822545475
AH_03_C,106.68650552004306,-6.100924854166139
AI_03_A,106.68651965981799,-6.105446025287878
AI_03_C,106.68653381026509,-6.109967195619184
AK_03_A,106.68657632564395,-6.123530701864756
AK_03_C,106.68659051878423,-6.128051869028571
AL_03_A,106.68660472259889,-6.132573035399068
AL_03_C,106.6866189370884,-6.137094200975674
AH_03_B,106.6910081747644,-6.0963895258713885
AH_03_D,106.69102234166444,-6.100910687207836
AI_03_B,106.69103651926477,-6.105431847754261
AI_03_D,106.69105070756582,-6.109953007510085
AJ_03_B,106.69106490656806,-6.114474166474735
AJ_03_D,106.69107911627192,-6.118995324647629
AK_03_B,106.69109333667784,-6.123516482028188
AK_03_D,106.69110756778626,-6.128037638615842
AL_03_B,106.69112180959763,-6.1325587944100075
AL_03_D,106.6911360621124,-6.137079949410107
AH_04_A,106.69552494788907,-6.096375331668822
AH_04_C,106.69553915258552,-6.100896482401876
AI_04_A,106.69555336801082,-6.105417632344737
AI_04_C,106.69556759416538,-6.109938781496826
AJ_04_A,106.69558183104968,-6.114459929857569
AJ_04_C,106.69559607866414,-6.118981077426387
AK_04_A,106.69561033700921,-6.123502224202701
AK_04_C,106.69562460608535,-6.128023370185938
AL_04_A,106.69563888589298,-6.132544515375514
AL_04_C,106.69565317643257,-6.137065659770856
AH_04_B,106.70004171028535,-6.0963610996472894
AH_04_D,106.70005595277777,-6.100882239748697
AI_04_B,106.70007020602758,-6.105403379059742
AI_04_D,106.70008447003521,-6.109924517579843
AJ_04_B,106.70009874480111,-6.1144456553084305
AJ_04_D,106.70011303032574,-6.11896679224492
AK_04_B,106.70012732660953,-6.123487928388734
AK_04_D,106.70014163365293,-6.128009063739299
AL_04_B,106.70015595145638,-6.1325301982960365
AL_04_D,106.70017028002034,-6.137051332058364
AH_05_A,106.7045584619247,-6.096346829807233
AH_05_C,106.70457274221265,-6.100867959248744
AI_05_A,106.70458703328651,-6.10538908789972
AI_05_C,106.70460133514676,-6.109910215759584
AJ_05_A,106.70461564779383,-6.114431342827758
AJ_05_C,106.70462997122819,-6.118952469103667
AK_05_A,106.70464430545024,-6.123473594586731
AK_05_C,106.70465865046046,-6.127994719276371
AL_05_A,106.70467300625928,-6.132515843172011
AL_05_C,106.70468737284718,-6.137036966273072
AH_05_B,106.70907520277855,-6.096332522149091
AH_05_D,106.70908952086158,-6.1008536409024545
AI_05_B,106.70910384975907,-6.105374758865112
AI_05_D,106.7091181894715,-6.109895876036486
AJ_05_B,106.7091325399993,-6.114416992416
AJ_05_D,106.7091469013429,-6.118938108003077
AK_05_B,106.70916127350279,-6.123459222797134
AK_05_D,106.70917565647937,-6.127980336797596
AL_05_B,106.70919005027314,-6.132501450003888
AL_05_D,106.7092044548845,-6.137022562415426
AG_06_C,106.71357758778329,-6.091797067846045
AH_06_A,106.71359193281837,-6.096318176673307
AH_06_C,106.71360628869604,-6.100839284710274
AI_06_A,106.71362065541672,-6.1053603919563635
AI_06_C,106.71363503298086,-6.109881498410996
AJ_06_A,106.71364942138894,-6.114402604073598
AJ_06_C,106.71366382064137,-6.118923708943588
AK_06_A,106.71367823073862,-6.123444813020387
AK_06_C,106.71369265168113,-6.12796591630342
AL_06_A,106.71370708346936,-6.132487018792109
AL_06_C,106.71372152610377,-6.137008120485873
AG_06_D,106.71809426921489,-6.091782695297539
AH_06_B,106.71810865201562,-6.0963037933803275
AH_06_D,106.71812304568748,-6.100824890672647
AI_06_B,106.71813745023087,-6.105345987173917
AI_06_D,106.7181518656463,-6.109867082883559
AJ_06_B,106.7181662919342,-6.114388177800996
AJ_06_D,106.71818072909501,-6.1189092719256495
AK_06_B,106.71819517712919,-6.123430365256939
AK_06_D,106.71820963603719,-6.127951457794292
AL_06_B,106.71822410581943,-6.132472549537123
AL_06_D,106.7182385864764,-6.1369936404848575
AG_07_C,106.72261093977583,-6.091768284960532
AH_07_A,106.72262536034175,-6.096289372270596
AH_07_C,106.72263979180734,-6.10081045879002
AI_07_A,106.72265423417304,-6.10533154451822
AI_07_C,106.7226686874393,-6.109852629454621
AJ_07_A,106.72268315160656,-6.114373713598643
AJ_07_C,106.7226976266753,-6.118894796949708
AK_07_A,106.72271211264594,-6.123415879507237
AK_07_C,106.72272660951894,-6.127936961270654
